Run	model	alpha	regularization	factors	iterations	precision	recall	f1	map@k
run_918	lmf	70	0.008743557288266071	769	41	0.0034	0.0034	0.0034	0.0004
run_919	lmf	95	0.009422747120905189	748	18	0.0034	0.0034	0.0034	0.0004
run_920	bpr	11	0.0007420842162387396	653	73	0.0749	0.0749	0.0749	0.0190
run_921	lmf	34	0.018387361885978434	617	30	0.0034	0.0034	0.0034	0.0004
run_922	lmf	89	0.003456470965838359	117	17	0.0015	0.0015	0.0015	0.0003
run_923	lmf	44	0.009530517942064538	457	16	0.0034	0.0034	0.0034	0.0004
run_924	bpr	66	0.009695521965955925	803	55	0.0779	0.0779	0.0779	0.0205
run_925	lmf	88	0.0032371730422209384	111	41	0.0014	0.0014	0.0014	0.0002
run_926	lmf	63	0.013794936729277023	397	7	0.0034	0.0034	0.0034	0.0004
run_927	bpr	30	0.007522665981783432	541	73	0.0815	0.0815	0.0815	0.0213
run_928	lmf	78	0.03337687617930366	719	18	0.0034	0.0034	0.0034	0.0004
run_929	bpr	32	0.028625386464021064	134	64	0.0338	0.0338	0.0338	0.0082
run_930	bpr	87	0.003144441484459636	51	55	0.0848	0.0848	0.0848	0.0227
run_931	bpr	28	0.014088854332622469	630	61	0.0715	0.0715	0.0715	0.0187
run_932	lmf	97	0.005017829134243514	351	19	0.0034	0.0034	0.0034	0.0004
run_933	lmf	45	0.0017260530099690427	665	61	0.0034	0.0034	0.0034	0.0004
run_934	lmf	12	0.0011079431826136281	203	55	0.0015	0.0015	0.0015	0.0003
run_935	bpr	73	0.011499312549734022	925	17	0.0572	0.0572	0.0572	0.0149
run_936	lmf	77	0.030582171632258105	605	66	0.0034	0.0034	0.0034	0.0004
run_937	lmf	80	0.01378511039506817	637	93	0.0034	0.0034	0.0034	0.0004
run_938	bpr	11	0.028550661055358	869	60	0.0670	0.0670	0.0670	0.0174
run_939	bpr	32	0.0011717774166279597	833	20	0.0520	0.0520	0.0520	0.0136
run_940	lmf	17	0.0046748151420349555	203	68	0.0034	0.0034	0.0034	0.0004
run_941	lmf	55	0.0059275191254348075	920	63	0.0034	0.0034	0.0034	0.0004
run_942	bpr	98	0.001272263356848914	119	10	0.0690	0.0690	0.0690	0.0179
run_943	lmf	18	0.00797982673525985	117	36	0.0014	0.0014	0.0014	0.0003
run_944	lmf	92	0.029307195315694867	871	40	0.0034	0.0034	0.0034	0.0004
run_945	bpr	38	0.02169586100086706	322	83	0.0658	0.0658	0.0658	0.0168
run_946	bpr	89	0.015817070523628577	688	92	0.0734	0.0734	0.0734	0.0190
run_947	lmf	49	0.00408608394839911	382	83	0.0034	0.0034	0.0034	0.0004
run_948	bpr	63	0.0008402808834197844	866	54	0.0601	0.0601	0.0601	0.0145
run_949	lmf	18	0.018982906215152216	721	27	0.0034	0.0034	0.0034	0.0004
run_950	lmf	63	0.010774667619605724	688	15	0.0034	0.0034	0.0034	0.0004
run_951	bpr	93	0.007440264412916167	221	52	0.0814	0.0814	0.0814	0.0216
run_952	lmf	20	0.018892784101429718	469	36	0.0034	0.0034	0.0034	0.0004
run_953	lmf	91	0.010176948393808703	954	79	0.0034	0.0034	0.0034	0.0004
run_954	bpr	30	0.0009049657240631498	933	56	0.0821	0.0821	0.0821	0.0216
run_955	bpr	51	0.007960816486841507	984	17	0.0670	0.0670	0.0670	0.0175
run_956	bpr	15	0.007091029643318616	952	68	0.0806	0.0806	0.0806	0.0212
run_957	lmf	61	0.00025642903060772265	257	71	0.0034	0.0034	0.0034	0.0004
run_958	bpr	53	0.00043095193446828406	671	59	0.0738	0.0738	0.0738	0.0199
run_959	lmf	62	0.0076261936346735636	707	36	0.0034	0.0034	0.0034	0.0004
run_960	bpr	13	0.0002701082733414809	772	69	0.0706	0.0706	0.0706	0.0193
run_961	bpr	75	0.0016136112637358982	563	6	0.0565	0.0565	0.0565	0.0147
run_962	lmf	83	0.0053384580997151146	334	37	0.0034	0.0034	0.0034	0.0004
run_963	bpr	22	0.009302024348367731	92	74	0.0822	0.0822	0.0822	0.0220
run_964	lmf	23	0.001427478034018773	779	38	0.0034	0.0034	0.0034	0.0004
run_965	bpr	35	0.01718999019425071	473	78	0.0715	0.0715	0.0715	0.0189
run_966	bpr	17	0.03404638166683674	208	40	0.0678	0.0678	0.0678	0.0178
run_967	lmf	34	0.0002588730983047888	404	53	0.0034	0.0034	0.0034	0.0004
run_968	lmf	20	0.018914771376560054	108	28	0.0014	0.0014	0.0014	0.0003
run_969	bpr	29	0.005830883181620718	224	89	0.0744	0.0744	0.0744	0.0199
run_970	bpr	25	0.017487397371467713	768	79	0.0683	0.0683	0.0683	0.0176
run_971	lmf	88	0.010100330927974696	393	42	0.0034	0.0034	0.0034	0.0004
run_972	lmf	79	0.027957314118716176	271	43	0.0034	0.0034	0.0034	0.0004
run_973	bpr	35	0.0003911209613744886	861	94	0.0210	0.0210	0.0210	0.0046
run_974	lmf	92	0.020084656434204224	365	27	0.0034	0.0034	0.0034	0.0004
run_975	lmf	80	0.012986729377008215	699	42	0.0034	0.0034	0.0034	0.0004
run_976	lmf	52	0.012229533592564191	461	98	0.0034	0.0034	0.0034	0.0004
run_977	lmf	74	0.006517028660674959	188	82	0.0013	0.0013	0.0013	0.0003
run_978	lmf	67	0.005600841077848025	293	90	0.0034	0.0034	0.0034	0.0004
run_979	lmf	71	0.004664039781216404	978	70	0.0034	0.0034	0.0034	0.0004
run_980	bpr	50	0.007090303524746987	601	30	0.0791	0.0791	0.0791	0.0210
run_981	bpr	97	0.004746583271640648	198	15	0.0658	0.0658	0.0658	0.0173
run_982	lmf	39	0.003592727541456246	644	18	0.0034	0.0034	0.0034	0.0004
run_983	lmf	21	0.0006925742930883193	657	21	0.0034	0.0034	0.0034	0.0004
run_984	bpr	35	0.00037647250496791913	594	92	0.0796	0.0796	0.0796	0.0210
run_985	bpr	17	0.002650828274757012	387	61	0.0835	0.0835	0.0835	0.0222
run_986	bpr	68	0.00412244223731959	160	77	0.0820	0.0820	0.0820	0.0218
run_987	bpr	17	0.0010178677573605415	315	61	0.0745	0.0745	0.0745	0.0191
run_988	bpr	90	0.014992416967594182	664	59	0.0752	0.0752	0.0752	0.0199
run_989	lmf	39	0.010417606383769339	613	10	0.0034	0.0034	0.0034	0.0004
run_990	lmf	22	0.003790124782306304	616	50	0.0034	0.0034	0.0034	0.0004
